# Consumer OID demand matrix -- plan row F3(b).
# Consumer: etherscope-nxg
# Capture window (UTC): 2026-09-06T01:14:11Z .. 2026-09-06T07:06:25Z
# SNMP request datagrams to udp/161: 514504
# ... on a pack VLAN and a mapped pack address: 390198
# ... on a non-pack VLAN (lab infrastructure): 82337
# ... on a pack VLAN but an unmapped address: 10771 across 515 addresses
# ... undecodable as an SNMP request: 0
# Regenerate:
#   NIAC_ROLE_MAP_OUT=roles.tsv go test ./internal/scenario -run TestWritePackDeviceRoles
#   python3 scripts/extract-oid-demand.py --pcap <capture> --roles roles.tsv --out <this file>
pack	role	pdu	oid	requests
campus	access-point	get	.1.3.6.1.2.1.1.1.0	362
campus	access-point	get	.1.3.6.1.2.1.1.2.0	362
campus	access-point	get	.1.3.6.1.2.1.1.3.0	362
campus	access-point	get	.1.3.6.1.2.1.1.4.0	362
campus	access-point	get	.1.3.6.1.2.1.1.5.0	362
campus	access-point	get	.1.3.6.1.2.1.1.6.0	362
campus	access-point	get	.1.3.6.1.2.1.17.1.1	222
campus	access-point	get	.1.3.6.1.2.1.4.1.0	222
campus	access-point	get	.1.3.6.1.2.1.4.21.1.7.0.0.0.0	222
campus	access-point	get	.1.3.6.1.2.1.67.1.1.1.1.1	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.10.0	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.14.0	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.18.0	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.3.0	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.4.0	222
campus	access-point	get	.1.3.6.1.4.1.14823.2.2.1.2.1.1.0	222
campus	access-point	get	.1.3.6.1.4.1.14823.2.2.1.2.1.3.0	222
campus	access-point	get	.1.3.6.1.4.1.25053.1.1.2.1.1.1.1.0	222
campus	access-point	get	.1.3.6.1.4.1.25053.1.1.2.1.1.1.2.0	222
campus	access-point	get	.1.3.6.1.4.1.6876.1.1.0	222
campus	access-point	get	.1.3.6.1.4.1.6876.1.2.0	222
campus	access-point	get	.1.3.6.1.4.1.6876.1.4.0	222
campus	access-point	getbulk	.1.0.8802.1.1.1.1.2.1.1.1	222
campus	access-point	getbulk	.1.0.8802.1.1.1.1.2.1.1.6	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.3.7.1.2	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.3.7.1.3	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.3.7.1.4	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.12	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.4	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.5	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.6	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.7	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.8	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.9	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.2.1.3	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.1.1.3	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.1	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.2	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.3	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.4	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.5	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.6	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.7	222
campus	access-point	getbulk	.1.2.840.10006.300.43.1.2.1.1.13	222
campus	access-point	getbulk	.1.2.840.10036.1.1.1.11	222
campus	access-point	getbulk	.1.3.6.1.2.1.10.7.2.1.13	222
campus	access-point	getbulk	.1.3.6.1.2.1.10.7.2.1.19	222
campus	access-point	getbulk	.1.3.6.1.2.1.17.1.4.1.2	444
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.2	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.2.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.3.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.4	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.4.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.5	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.5.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.6	444
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.6.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.8	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.8.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.1	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.15	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.18	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.2	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.9	222
campus	access-point	getbulk	.1.3.6.1.2.1.4.20.1.1	444
campus	access-point	getbulk	.1.3.6.1.2.1.4.20.1.2	444
campus	access-point	getbulk	.1.3.6.1.2.1.4.20.1.3	444
campus	access-point	getbulk	.1.3.6.1.2.1.47.1.1.1.1.10	222
campus	access-point	getbulk	.1.3.6.1.2.1.47.1.1.1.1.11	222
campus	access-point	getbulk	.1.3.6.1.2.1.47.1.1.1.1.12	222
campus	access-point	getbulk	.1.3.6.1.2.1.47.1.1.1.1.13	222
campus	access-point	getbulk	.1.3.6.1.2.1.47.1.1.1.1.15	222
campus	access-point	getbulk	.1.3.6.1.2.1.47.1.1.1.1.5	222
campus	access-point	getbulk	.1.3.6.1.2.1.47.1.1.1.1.8	222
campus	access-point	getbulk	.1.3.6.1.2.1.47.1.1.1.1.9	222
campus	access-point	getbulk	.1.3.6.1.2.1.68.1.3.1.2	222
campus	access-point	getbulk	.1.3.6.1.2.1.68.1.3.1.5	222
campus	access-point	getbulk	.1.3.6.1.2.1.68.1.3.1.7	222
campus	access-point	getbulk	.1.3.6.1.2.1.68.1.3.1.8	222
campus	access-point	getbulk	.1.3.6.1.2.1.68.1.4.1.2	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.10.86.1.1.1.1.6	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.10.86.1.1.1.1.7	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.10.86.1.1.1.1.8	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.10.86.1.1.1.1.9	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.10.86.1.1.2.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.10.86.1.1.2.1.5	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.10.86.1.1.3.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.10.86.1.1.3.1.6	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.5.1.4.1.1.10	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.5.1.4.1.1.11	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.5.1.4.1.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.5.1.9.2.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.5.1.9.3.1.12	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.5.1.9.3.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.5.1.9.3.1.7	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.5.1.9.3.1.8	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.106.1.2.1.1.11	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.106.1.2.1.1.13	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.106.1.2.1.1.14	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.106.1.2.1.1.16	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.106.1.2.1.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.225.1.4.1.1.1	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.23.1.2.1.1.11	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.23.1.2.1.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.23.1.2.1.1.4	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.23.1.2.1.1.5	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.23.1.2.1.1.6	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.23.1.2.1.1.7	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.23.1.2.1.1.8	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.23.1.2.1.1.9	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.25.1.1.1.2	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.272.1.1.1.1.1.1	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.387.1.1.1.1.1	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.388.1.2.1.1.2	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.388.1.2.2.1.1	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.388.1.2.2.1.2	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.388.1.3.1.1.2	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.2.1.1.2	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.3.1.1.18	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.3.1.1.2	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.3.1.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.3.1.1.4	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.11	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.13	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.14	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.23	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.24	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.25	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.5	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.46.1.6.1.1.6	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.68.1.2.1.1.3	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.68.1.2.2.1.2	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.68.1.5.1.1.1	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.87.1.4.1.1.37	222
campus	access-point	getbulk	.1.3.6.1.4.1.9.9.98.1.1.1.1.8	222
campus	access-point	getnext	.1.0.8802.1.1.1.1.1	222
campus	access-point	getnext	.1.3.6.1.2.1.1.1	444
campus	access-point	getnext	.1.3.6.1.2.1.1.2	222
campus	access-point	getnext	.1.3.6.1.2.1.10.7.2	222
campus	access-point	getnext	.1.3.6.1.2.1.16.1	222
campus	access-point	getnext	.1.3.6.1.2.1.16.11	222
campus	access-point	getnext	.1.3.6.1.2.1.17.1.4.1.1	222
campus	access-point	getnext	.1.3.6.1.2.1.17.2	222
campus	access-point	getnext	.1.3.6.1.2.1.17.2.15.1.1	222
campus	access-point	getnext	.1.3.6.1.2.1.17.3	222
campus	access-point	getnext	.1.3.6.1.2.1.17.4	222
campus	access-point	getnext	.1.3.6.1.2.1.17.4.3.1.2	222
campus	access-point	getnext	.1.3.6.1.2.1.17.7.1.2.2.1.2	222
campus	access-point	getnext	.1.3.6.1.2.1.2.1	222
campus	access-point	getnext	.1.3.6.1.2.1.25.1.1	222
campus	access-point	getnext	.1.3.6.1.2.1.26.2.1.1	222
campus	access-point	getnext	.1.3.6.1.2.1.31.1.1	222
campus	access-point	getnext	.1.3.6.1.2.1.43	222
campus	access-point	getnext	.1.3.6.1.2.1.47.1.1.1.1.4	222
campus	access-point	getnext	.1.3.6.1.2.1.47.1.3.2.1.2	222
campus	access-point	getnext	.1.3.6.1.4.1.9.5.1.4.1.1.11	222
campus	access-point	getnext	.1.3.6.1.4.1.9.9.156.1	222
campus	access-point	getnext	.1.3.6.1.4.1.9.9.244.1.2.1.1.2	222
campus	access-point	getnext	.1.3.6.1.4.1.9.9.276.1.5.1.1.1	444
campus	access-point	getnext	.1.3.6.1.4.1.9.9.387.1.1.1.1.1	222
campus	access-point	getnext	.1.3.6.1.4.1.9.9.48.1.1.1.2	222
campus	access-point	getnext	.1.3.6.1.4.1.9.9.68.1.2.2.1.2	222
campus	firewall	get	.1.3.6.1.2.1.1.1.0	83
campus	firewall	get	.1.3.6.1.2.1.1.2.0	83
campus	firewall	get	.1.3.6.1.2.1.1.3.0	419
campus	firewall	get	.1.3.6.1.2.1.1.4.0	83
campus	firewall	get	.1.3.6.1.2.1.1.5.0	83
campus	firewall	get	.1.3.6.1.2.1.1.6.0	83
campus	firewall	get	.1.3.6.1.2.1.10.7.2.1.19.1	48
campus	firewall	get	.1.3.6.1.2.1.10.7.2.1.19.2	48
campus	firewall	get	.1.3.6.1.2.1.10.7.2.1.19.3	48
campus	firewall	get	.1.3.6.1.2.1.10.7.2.1.19.4	48
campus	firewall	get	.1.3.6.1.2.1.10.7.2.1.19.5	48
campus	firewall	get	.1.3.6.1.2.1.10.7.2.1.19.6	48
campus	firewall	get	.1.3.6.1.2.1.10.7.2.1.19.7	48
campus	firewall	get	.1.3.6.1.2.1.17.1.1	16
campus	firewall	get	.1.3.6.1.2.1.2.2.1.13.1	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.13.2	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.13.3	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.13.4	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.13.5	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.13.6	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.13.7	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.14.1	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.14.2	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.14.3	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.14.4	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.14.5	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.14.6	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.14.7	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.15.1	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.15.2	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.15.3	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.15.4	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.15.5	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.15.6	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.15.7	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.19.1	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.19.2	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.19.3	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.19.4	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.19.5	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.19.6	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.19.7	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.20.1	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.20.2	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.20.3	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.20.4	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.20.5	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.20.6	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.20.7	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.5.1	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.5.2	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.5.3	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.5.4	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.5.5	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.5.6	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.5.7	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.8.1	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.8.2	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.8.3	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.8.4	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.8.5	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.8.6	48
campus	firewall	get	.1.3.6.1.2.1.2.2.1.8.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.10.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.10.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.10.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.10.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.10.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.10.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.10.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.11.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.11.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.11.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.11.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.11.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.11.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.11.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.12.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.12.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.12.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.12.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.12.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.12.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.12.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.13.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.13.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.13.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.13.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.13.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.13.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.13.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.15.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.15.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.15.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.15.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.15.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.15.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.15.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.6.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.6.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.6.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.6.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.6.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.6.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.6.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.7.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.7.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.7.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.7.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.7.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.7.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.7.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.8.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.8.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.8.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.8.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.8.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.8.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.8.7	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.9.1	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.9.2	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.9.3	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.9.4	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.9.5	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.9.6	48
campus	firewall	get	.1.3.6.1.2.1.31.1.1.1.9.7	48
campus	firewall	get	.1.3.6.1.2.1.4.1.0	48
campus	firewall	get	.1.3.6.1.2.1.4.21.1.7.0.0.0.0	48
campus	firewall	get	.1.3.6.1.2.1.67.1.1.1.1.1	16
campus	firewall	get	.1.3.6.1.4.1.14179.1.1.1.10.0	16
campus	firewall	get	.1.3.6.1.4.1.14179.1.1.1.14.0	16
campus	firewall	get	.1.3.6.1.4.1.14179.1.1.1.18.0	16
campus	firewall	get	.1.3.6.1.4.1.14179.1.1.1.3.0	16
campus	firewall	get	.1.3.6.1.4.1.14179.1.1.1.4.0	16
campus	firewall	get	.1.3.6.1.4.1.14823.2.2.1.2.1.1.0	16
campus	firewall	get	.1.3.6.1.4.1.14823.2.2.1.2.1.3.0	16
campus	firewall	get	.1.3.6.1.4.1.25053.1.1.2.1.1.1.1.0	16
campus	firewall	get	.1.3.6.1.4.1.25053.1.1.2.1.1.1.2.0	16
campus	firewall	get	.1.3.6.1.4.1.6876.1.1.0	16
campus	firewall	get	.1.3.6.1.4.1.6876.1.2.0	16
campus	firewall	get	.1.3.6.1.4.1.6876.1.4.0	16
campus	firewall	getbulk	.1.0.8802.1.1.1.1.2.1.1.1	16
campus	firewall	getbulk	.1.0.8802.1.1.1.1.2.1.1.6	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.3.7.1.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.3.7.1.3	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.3.7.1.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.12	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.12.0.2.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.12.0.4.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.4.0.2.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.4.0.4.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.5	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.5.0.2.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.5.0.4.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.6	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.6.0.2.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.6.0.4.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.7	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.7.0.2.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.7.0.4.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.8	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.8.0.2.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.8.0.4.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.9	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.9.0.2.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.1.1.9.0.4.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.4.2.1.3	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.2.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.2.3	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.2.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.2.5	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.2.6	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.2.7	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.2.8	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.1.1.3	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.1	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.2	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.3	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.4	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.5	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.6	16
campus	firewall	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.7	16
campus	firewall	getbulk	.1.2.840.10006.300.43.1.2.1.1.13	16
campus	firewall	getbulk	.1.2.840.10036.1.1.1.11	16
campus	firewall	getbulk	.1.3.6.1.2.1.10.7.2.1.13	16
campus	firewall	getbulk	.1.3.6.1.2.1.10.7.2.1.19	16
campus	firewall	getbulk	.1.3.6.1.2.1.17.1.4.1.2	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.2	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.2.3	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.2.6	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.3	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.3.3	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.3.6	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.4	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.4.3	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.4.6	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.5	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.5.3	16
campus	firewall	getbulk	.1.3.6.1.2.1.2.2.1.5.6	16
